,spendable income (x 1000 euros),Households total,average
0,less than -6,4,-500.0
1,between -6 and -4,1,-416.6666666666667
2,between -4 and -2,2,-250.0
3,between -2 and 0,21,-83.33333333333333
4,between 0 and 2,38,83.33333333333333
5,between 2 and 4,43,250.0
6,between 4 and 6,50,416.6666666666667
7,between 6 and 8,48,583.3333333333334
8,between 8 and 10,50,750.0
9,between 10 and 12,50,916.6666666666666
10,between 12 and 14,60,1083.3333333333333
11,between 14 and 16,89,1250.0
12,between 16 and 18,199,1416.6666666666667
13,between 18 and 20,285,1583.3333333333333
14,between 20 and 22,295,1750.0
15,between 22 and 24,363,1916.6666666666667
16,between 24 and 26,307,2083.3333333333335
17,between 26 and 28,298,2250.0
18,between 28 and 30,317,2416.6666666666665
19,between 30 and 32,298,2583.3333333333335
20,between 32 and 34,274,2750.0
21,between 34 and 36,261,2916.6666666666665
22,between 36 and 38,252,3083.3333333333335
23,between 38 and 40,235,3250.0
24,between 40 and 42,215,3416.6666666666665
25,between 42 and 44,199,3583.3333333333335
26,between 44 and 46,191,3750.0
27,between 46 and 48,186,3916.6666666666665
28,between 48 and 50,182,4083.333333333333
29,between 50 and 52,176,4250.0
30,between 52 and 54,171,4416.666666666667
31,between 54 and 56,167,4583.333333333333
32,between 56 and 58,162,4750.0
33,between 58 and 60,159,4916.666666666667
34,between 60 and 62,154,5083.333333333333
35,between 62 and 64,149,5250.0
36,between 64 and 66,143,5416.666666666667
37,between 66 and 68,137,5583.333333333333
38,between 68 and 70,129,5750.0
39,between 70 and 72,121,5916.666666666667
40,between 72 and 74,114,6083.333333333333
41,between 74 and 76,106,6250.0
42,between 76 and 78,98,6416.666666666667
43,between 78 and 80,91,6583.333333333333
44,between 80 and 82,85,6750.0
45,between 82 and 84,79,6916.666666666667
46,between 84 and 86,73,7083.333333333333
47,between 86 and 88,67,7250.0
48,between 88 and 90,62,7416.666666666667
49,between 90 and 92,57,7583.333333333333
50,between 92 and 94,52,7750.0
51,between 94 and 96,48,7916.666666666667
52,between 96 and 98,45,8083.333333333334
53,between 98 and 100,41,8250.0
54,between 100 and 102,37,8416.666666666666
55,between 102 and 104,34,8583.333333333334
56,between 104 and 106,32,8750.0
57,between 106 and 108,29,8916.666666666666
58,between 108 and 110,27,9083.333333333334
59,between 110 and 112,24,9250.0
60,between 112 and 114,22,9416.666666666666
61,between 114 and 116,21,9583.333333333334
62,between 116 and 118,19,9750.0
63,between 118 and 120,17,9916.666666666666
64,between 120 and 122,16,10083.333333333334
65,between 122 and 124,15,10250.0
66,between 124 and 126,14,10416.666666666666
67,between 126 and 128,13,10583.333333333334
68,between 128 and 130,12,10750.0
69,between 130 and 132,11,10916.666666666666
70,between 132 and 134,10,11083.333333333334
71,between 134 and 136,9,11250.0
72,between 136 and 138,9,11416.666666666666
73,between 138 and 140,8,11583.333333333334
74,more than 140,159,11666.666666666666
